,State,Type,Operation,Count
746,TG,meta,notes,"[July 27] : Telangana bulletin for the previous day is released on the next day. We will add the cases for Telangana against the date of release, as that is the convention that we are following for other states."
747,TG,meta,population,37220000
748,TG,meta,tested,10/31/2021
749,TG,meta,tested,https://twitter.com/IPRTelangana/status/1454809941366083585
750,TG,meta,vaccinated,10/31/2021
751,TG,total,confirmed,671463
752,TG,total,deceased,3956
753,TG,total,recovered,663498
754,TG,total,tested,27569831
755,TG,total,vaccinated1,22498559
756,TG,total,vaccinated2,9772398
757,TN,delta,confirmed,1009
758,TN,delta,deceased,19
759,TN,delta,recovered,1183
760,TN,delta,tested,123701
761,TN,delta,vaccinated1,77325
762,TN,delta,vaccinated2,106584
763,TN,delta21_14,confirmed,8827
764,TN,delta7,confirmed,7407
765,TN,delta7,deceased,97
766,TN,delta7,recovered,8852
767,TN,delta7,tested,858304
768,TN,delta7,vaccinated1,788134
769,TN,delta7,vaccinated2,1578082
770,TN,meta,date,10/31/2021
771,TN,meta,last_updated,2021-11-01T09:54:14+05:30
772,TN,meta,notes,"[June 29 2021]: TN has introduced a new district ""Mayiladuthurai"" in the bulletin and has assigned cases from Nagapattinam to the new district.
[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.
2 deaths cross notified to other states from Chennai and Coimbatore.
1 patient died after turning negative for infection in Chengalpattu.
These cases have been added to TN deceased tally"
773,TN,meta,population,75695000
774,TN,meta,tested,10/31/2021
775,TN,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11882
776,TN,meta,vaccinated,10/31/2021
777,TN,total,confirmed,2702623
778,TN,total,deceased,36116
779,TN,total,recovered,2655015
780,TN,total,tested,51159242
781,TN,total,vaccinated1,41279432
782,TN,total,vaccinated2,17619141
783,TR,delta,confirmed,12
784,TR,delta,recovered,2
785,TR,delta,tested,3501
786,TR,delta,vaccinated1,3
787,TR,delta,vaccinated2,650
788,TR,delta21_14,confirmed,49
789,TR,delta7,confirmed,87
790,TR,delta7,recovered,62
791,TR,delta7,tested,22126
792,TR,delta7,vaccinated1,4155
793,TR,delta7,vaccinated2,74642
794,TR,meta,date,10/31/2021
795,TR,meta,last_updated,2021-11-01T09:54:14+05:30
796,TR,meta,notes,"[Aug 4]: Tripura bulletin for the previous day is released on the next day. We will add the cases for Tripura against the date of release, as that is the convention that we are following for other states."
797,TR,meta,population,3992000
798,TR,meta,tested,10/31/2021
799,TR,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11868
800,TR,meta,vaccinated,10/31/2021
801,TR,total,confirmed,84468
802,TR,total,deceased,813
803,TR,total,other,63
804,TR,total,recovered,83466
805,TR,total,tested,1983127
806,TR,total,vaccinated1,2508477
807,TR,total,vaccinated2,1621329
808,TT,delta,confirmed,12907
809,TT,delta,deceased,251
810,TT,delta,other,1
811,TT,delta,recovered,13152
812,TT,delta,tested,881379
813,TT,delta,vaccinated1,750410
814,TT,delta,vaccinated2,933460
815,TT,delta21_14,confirmed,109755
816,TT,delta7,confirmed,96071
817,TT,delta7,deceased,3727
818,TT,delta7,other,37
819,TT,delta7,recovered,101753
820,TT,delta7,tested,8431577
821,TT,delta7,vaccinated1,15883780
822,TT,delta7,vaccinated2,24527530
823,TT,meta,date,10/31/2021
824,TT,meta,last_updated,2021-11-01T11:20:24+05:30
825,TT,meta,population,1332900000
826,TT,meta,tested,10/31/2021
827,TT,meta,tested,https://twitter.com/ICMRDELHI/status/1455013648355577862?s=20
828,TT,meta,vaccinated,10/31/2021
829,TT,meta,vaccinated,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1768299
830,TT,total,confirmed,34285612
831,TT,total,deceased,458470
832,TT,total,other,13197
833,TT,total,recovered,33661339
834,TT,total,tested,609201294
835,TT,total,vaccinated1,732371508
836,TT,total,vaccinated2,330752697
837,UP,delta,confirmed,6
838,UP,delta,recovered,6
839,UP,delta,tested,161458
840,UP,delta,vaccinated1,53401
841,UP,delta,vaccinated2,57556
842,UP,delta21_14,confirmed,74
843,UP,delta7,confirmed,63
844,UP,delta7,deceased,1
845,UP,delta7,recovered,58
846,UP,delta7,tested,1140736
847,UP,delta7,vaccinated1,2266921
848,UP,delta7,vaccinated2,3130828
849,UP,meta,date,10/31/2021
850,UP,meta,last_updated,2021-11-01T09:54:14+05:30
851,UP,meta,notes,"[Jan 1]:As no bulletin was provided for 31'st Dec'20,its count has been combined with 1st Jan'21
[Jan 9]:Due to reconcillation there are 1286 cases."
852,UP,meta,population,224979000
853,UP,meta,tested,10/31/2021
854,UP,meta,tested,https://twitter.com/ShishirGoUP/status/1454716134503055360
855,UP,meta,vaccinated,10/31/2021
856,UP,total,confirmed,1710158
857,UP,total,deceased,22900
858,UP,total,recovered,1687151
859,UP,total,tested,83635222
860,UP,total,vaccinated1,98178865
861,UP,total,vaccinated2,32681895
862,UT,delta,confirmed,5
863,UT,delta,recovered,9
864,UT,delta,tested,9524
865,UT,delta,vaccinated1,1065
866,UT,delta,vaccinated2,12934
867,UT,delta21_14,confirmed,88
868,UT,delta7,confirmed,75
869,UT,delta7,deceased,1
870,UT,delta7,other,12
871,UT,delta7,recovered,74
872,UT,delta7,tested,83377
873,UT,delta7,vaccinated1,25250
874,UT,delta7,vaccinated2,258381
875,UT,meta,date,10/31/2021
876,UT,meta,last_updated,2021-11-01T09:54:14+05:30
877,UT,meta,notes,"[Oct 30]: Metric of capturing the testing data has switched to ""Samples Tested"" from ""Samples Collected""
[Jun 30th'21]:145 confirmed cases and 218 deceased cases added of previous days after reconciliation with district and ICMR portal"
878,UT,meta,population,11141000
879,UT,meta,tested,10/31/2021
880,UT,meta,tested,https://t.me/Covid19india_Auxiliary_Test_Data/11870
881,UT,meta,vaccinated,10/31/2021
882,UT,total,confirmed,343896
883,UT,total,deceased,7400
884,UT,total,other,6150
885,UT,total,recovered,330195
886,UT,total,tested,7781148
887,UT,total,vaccinated1,7478017
888,UT,total,vaccinated2,3898342
889,WB,delta,confirmed,914
890,WB,delta,deceased,15
891,WB,delta,recovered,913
892,WB,delta,tested,47417
893,WB,delta,vaccinated1,209609
894,WB,delta,vaccinated2,58881
895,WB,delta21_14,confirmed,4193
896,WB,delta7,confirmed,6453
897,WB,delta7,deceased,86
898,WB,delta7,recovered,5953
899,WB,delta7,tested,300114
900,WB,delta7,vaccinated1,3809597
901,WB,delta7,vaccinated2,1871612
902,WB,meta,date,10/31/2021
903,WB,meta,last_updated,2021-11-01T09:54:14+05:30
904,WB,meta,population,96906000
905,WB,meta,tested,10/31/2021
906,WB,meta,tested,https://www.wbhealth.gov.in/uploaded_files/corona/WB_DHFW_Bulletin_31ST_OCT_REPORT_FINAL.pdf
907,WB,meta,vaccinated,10/31/2021
908,WB,total,confirmed,1592908
909,WB,total,deceased,19141
910,WB,total,recovered,1565471
911,WB,total,tested,19228303
912,WB,total,vaccinated1,56192166
913,WB,total,vaccinated2,21559747
